OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;lamposumma_v;rainfall_v;;
2;3574450;7074350;Valtimo;2060;19610101;1961;1;1;3575000;7075000;-4.7;-4.7;-6.8;3;140;-999;0;3;;
2;3574450;7074350;Valtimo;2060;19610102;1961;1;2;3575000;7075000;-3.4;-2.4;-4.8;1;153;4.53;0;4;;
2;3574450;7074350;Valtimo;2060;19610103;1961;1;3;3575000;7075000;-3.5;-2.3;-4.3;1;154;4.65;0;5;;
2;3574450;7074350;Valtimo;2060;19610104;1961;1;4;3575000;7075000;-3.8;-3.5;-4.9;3;161;4.22;0;8;;
2;3574450;7074350;Valtimo;2060;19610105;1961;1;5;3575000;7075000;-1.1;0.4;-4.2;1;175;5.36;0;9;;
2;3574450;7074350;Valtimo;2060;19610106;1961;1;6;3575000;7075000;-1.6;0.5;-3.1;5;191;5.56;0;14;;
2;3574450;7074350;Valtimo;2060;19610107;1961;1;7;3575000;7075000;-4.8;-3;-5.6;1;193;4.39;0;15;;
2;3574450;7074350;Valtimo;2060;19610108;1961;1;8;3575000;7075000;-4;-2.6;-8;2;208;4.6;0;17;;
2;3574450;7074350;Valtimo;2060;19610109;1961;1;9;3575000;7075000;-9;-2.5;-16.1;0;259;3.5;0;17;;
2;3574450;7074350;Valtimo;2060;19610110;1961;1;10;3575000;7075000;-12.7;-11.1;-16.5;0;298;2.12;0;17;;
2;3574450;7074350;Valtimo;2060;19610111;1961;1;11;3575000;7075000;-5.9;-0.4;-17.9;1;258;4.24;0;18;;
2;3574450;7074350;Valtimo;2060;19610112;1961;1;12;3575000;7075000;-7.4;-0.7;-12;0;276;3.54;0;18;;
2;3574450;7074350;Valtimo;2060;19610113;1961;1;13;3575000;7075000;-7.4;-5.7;-12;0;293;3.46;0;18;;
2;3574450;7074350;Valtimo;2060;19610114;1961;1;14;3575000;7075000;-5.5;-4;-6.8;0;271;3.99;0;18;;
2;3574450;7074350;Valtimo;2060;19610115;1961;1;15;3575000;7075000;-7.3;-4;-7.7;2;309;3.9;0;20;;
2;3574450;7074350;Valtimo;2060;19610116;1961;1;16;3575000;7075000;-17.6;-7.6;-22;0;535;1.22;0;20;;
2;3574450;7074350;Valtimo;2060;19610117;1961;1;17;3575000;7075000;-20.9;-18.2;-29.8;0;445;0.97;0;20;;
2;3574450;7074350;Valtimo;2060;19610118;1961;1;18;3575000;7075000;-10.1;-8.6;-18.9;0;377;2.84;0;20;;
2;3574450;7074350;Valtimo;2060;19610119;1961;1;19;3575000;7075000;-4.9;-3.3;-8.7;0;412;4.27;0;20;;
2;3574450;7074350;Valtimo;2060;19610120;1961;1;20;3575000;7075000;-5.3;-3.3;-6.5;0;414;3.83;0;20;;
2;3574450;7074350;Valtimo;2060;19610121;1961;1;21;3575000;7075000;-7.5;-6;-8.3;0;483;3.16;0;20;;
2;3574450;7074350;Valtimo;2060;19610122;1961;1;22;3575000;7075000;-9.6;-7.1;-11.8;0;561;2.49;0;20;;
2;3574450;7074350;Valtimo;2060;19610123;1961;1;23;3575000;7075000;-10.3;-7;-10.9;0;723;2.67;0;20;;
2;3574450;7074350;Valtimo;2060;19610124;1961;1;24;3575000;7075000;-14.3;-10.1;-17.6;0;821;1.5;0;20;;
2;3574450;7074350;Valtimo;2060;19610125;1961;1;25;3575000;7075000;-13;-10.9;-15.1;0;687;2.01;0;20;;
2;3574450;7074350;Valtimo;2060;19610126;1961;1;26;3575000;7075000;-11.6;-9.1;-16.6;0;723;2.45;0;20;;
2;3574450;7074350;Valtimo;2060;19610127;1961;1;27;3575000;7075000;-10.4;-8.6;-15.7;0;553;2.93;0;20;;
2;3574450;7074350;Valtimo;2060;19610128;1961;1;28;3575000;7075000;-6.2;-3.3;-11.2;2;614;3.85;0;22;;
2;3574450;7074350;Valtimo;2060;19610129;1961;1;29;3575000;7075000;-2.5;-2.2;-4.4;3;867;4.86;0;25;;
2;3574450;7074350;Valtimo;2060;19610130;1961;1;30;3575000;7075000;-0.9;0.2;-2.2;8;677;5.28;0;33;;
2;3574450;7074350;Valtimo;2060;19610131;1961;1;31;3575000;7075000;-5.2;-0.2;-9;2;663;4.12;0;35;;
2;3574450;7074350;Valtimo;2060;19610201;1961;2;1;3575000;7075000;-10.2;-8.5;-10.6;0;678;2.53;0;35;;
2;3574450;7074350;Valtimo;2060;19610202;1961;2;2;3575000;7075000;-8.4;-7.5;-12.3;3;846;2.84;0;38;;
2;3574450;7074350;Valtimo;2060;19610203;1961;2;3;3575000;7075000;-3.8;-2.1;-6.9;2;695;4.47;0;40;;
2;3574450;7074350;Valtimo;2060;19610204;1961;2;4;3575000;7075000;-6.2;-2;-7.1;1;851;3.64;0;41;;
2;3574450;7074350;Valtimo;2060;19610205;1961;2;5;3575000;7075000;-12.2;-7.4;-12.9;1;973;2.34;0;42;;
2;3574450;7074350;Valtimo;2060;19610206;1961;2;6;3575000;7075000;-16;-12.1;-22.7;2;1570;1.14;0;44;;
2;3574450;7074350;Valtimo;2060;19610207;1961;2;7;3575000;7075000;-7;-3.3;-21.2;1;897;3.77;0;45;;
2;3574450;7074350;Valtimo;2060;19610208;1961;2;8;3575000;7075000;-5.8;-2.1;-4.8;1;963;4.28;0;46;;
2;3574450;7074350;Valtimo;2060;19610209;1961;2;9;3575000;7075000;-8.8;-4.5;-17.5;0;1469;2.86;0;46;;
2;3574450;7074350;Valtimo;2060;19610210;1961;2;10;3575000;7075000;-6.5;-4.6;-8.8;0;943;3.61;0;46;;
2;3574450;7074350;Valtimo;2060;19610211;1961;2;11;3575000;7075000;-4.9;-3.5;-9.3;2;974;3.61;0;48;;
2;3574450;7074350;Valtimo;2060;19610212;1961;2;12;3575000;7075000;-3.5;0.2;-6.8;1;1183;4.87;0;49;;
2;3574450;7074350;Valtimo;2060;19610213;1961;2;13;3575000;7075000;-8.1;-5.4;-15;2;2023;2.85;0;51;;
